Номер останнього виграшного етапу	Серія А	Серія Б	Серія В	Серія Г	Серія Ґ	Серія Д	Серія Е	Серія Є	Серія Ж	Серія З	Серія И	Серія І	Серія Ї	Серія Й	Серія К	Серія Л	Серія М
1	1,01	1,15	1,35	1,03	1,11	1,20	1,31	1,44	1,60	1,02	1,07	1,12	1,18	1,25	1,32	1,40	1,50
2	1,15	1,55	2,15	1,20	1,35	1,60	1,95	2,39	3,00	1,17	1,28	1,41	1,55	1,74	1,99	2,25	2,55
3	1,35	2,15	3,80	1,35	1,74	2,30	3,05	4,18	5,96	1,35	1,55	1,80	2,15	2,50	3,00	3,70	4,55
4	1,60	3,25	7,60	1,65	2,30	3,30	5,00	7,78	13,00	1,55	1,90	2,35	3,00	3,75	4,75	6,25	8,35
5	2,00	5,40	19,00	2,00	3,00	5,00	8,50	15,60	31,00	1,80	2,35	3,10	4,00	5,50	7,75	11,00	16,00
6	2,70	11,00	75,00	2,40	4,20	7,80	15,50	34,00	86,00	2,15	2,95	4,10	6,00	8,50	13,00	20,00	32,00
7	4,00	32,00	-	3,00	6,00	13,00	31,00	86,00	286,00	2,50	3,70	5,60	9,00	13,50	20,00	38,00	67,00
8	8,00	-	-	3,80	9,00	23,00	72,00	257,00	1292,00	3,00	4,80	7,70	13,00	22,00	40,00	75,00	150,00
9	-	-	-	5,10	14,50	39,00	190,00	1030,00	10 	3,70	6,25	11,00	20,00	38,00	75,00	160,00	360,00
10	-	-	-	7,20	25,00	110,00	656,00	7210,00	-	4,55	8,35	16,00	30,00	65,00	150,00	360,00	1000,00
11	-	-	-	11,00	50,00	325,00	3900,00	-	-	5,70	11,40	23,00	55,00	125,00	325,00	920,00	2900,00
12	-	-	-	18,00	125,00	1650,00	-	-	-	7,25	15,90	37,00	90,00	250,00	750,00	2650,00	10310,00
13	-	-	-	35,00	500,00	-	-	-	-	9,50	23,00	60,00	175,00	550,00	2000,00	8300,00	45000,00
14	-	-	-	110,00	-	-	-	-	-	12,50	34,50	103,00	350,00	1300,00	5900,00	33500,00	270000,00
15	-	-	-	-	-	-	-	-	-	17,00	54,00	190,00	750,00	3600,00	22000,00	185000,00	-
16	-	-	-	-	-	-	-	-	-	25,00	90,00	380,00	1900,00	12000,00	110000,00	-	-
17	-	-	-	-	-	-	-	-	-	37,00	162,00	850,00	5500,00	55000,00	-	-	-
18	-	-	-	-	-	-	-	-	-	60,00	325,00	2275,00	23000,00	450000,00	-	-	-
19	-	-	-	-	-	-	-	-	-	103,00	760,00	8000,00	150000,00	-	-	-	-
20	-	-	-	-	-	-	-	-	-	205,00	2275,00	48000,00	-	-	-	-	-
21	-	-	-	-	-	-	-	-	-	515,00	11500,00	-	-	-	-	-	-
22	-	-	-	-	-	-	-	-	-	2050,00	-	-	-	-	-	-	-
